rank,stadium,capacity,city,state,year_opened,type,tenant(s),image,location
1,Michigan Stadium,107601,Ann Arbor,Michigan,1927,Football,"Michigan Wolverines (NCAA)
",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/MichStadium_Renovation1.jpg/150px-MichStadium_Renovation1.jpg,"[42.2658652, 42.2658652]"
2,Beaver Stadium,106572,University Park,Pennsylvania,1960,Football,"Penn State Nittany Lions (NCAA)
",https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Beaver_Stadium_Whiteout_2018_Pregame.jpg/150px-Beaver_Stadium_Whiteout_2018_Pregame.jpg,"[40.81207425, 40.81207425]"
3,Ohio Stadium,102780,Columbus,Ohio,1922,Football,"Ohio State Buckeyes (NCAA)
",https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Ohio_Stadium_Endzone.JPG/150px-Ohio_Stadium_Endzone.JPG,"[40.00164575, 40.00164575]"
4,Kyle Field,102733,College Station,Texas,1927,Football,"Texas A&M Aggies (NCAA)
",https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Kyle_Field_Panorama.jpg/150px-Kyle_Field_Panorama.jpg,"[30.6098548, 30.6098548]"
5,Tiger Stadium,102321,Baton Rouge,Louisiana,1924,Football,"LSU Tigers (NCAA)
",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Tiger_Stadium_South_End_Zone_-_New.jpg/150px-Tiger_Stadium_South_End_Zone_-_New.jpg,"[30.41197725, 30.41197725]"
6,Neyland Stadium,101915,Knoxville,Tennessee,1921,Football,"Tennessee Volunteers (NCAA)
",https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/2012_Alabama_at_Tennessee_NCAA_Football_Game.jpg/150px-2012_Alabama_at_Tennessee_NCAA_Football_Game.jpg,"[35.95507225, 35.95507225]"
7,Darrell K Royal–Texas Memorial Stadium,100119,Austin,Texas,1924,Football,"Texas Longhorns (NCAA)
",https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Darrell_K_Royal-Texas_Memorial_Stadium_at_Night.jpg/150px-Darrell_K_Royal-Texas_Memorial_Stadium_at_Night.jpg,"[30.28381, 30.28381]"
8,Bryant–Denny Stadium,100077,Tuscaloosa,Alabama,1929,Football,"Alabama Crimson Tide (NCAA)
",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Bryant-Denny_Stadium_panoramic_2010-10-02.jpg/150px-Bryant-Denny_Stadium_panoramic_2010-10-02.jpg,"[33.2076889, 33.2076889]"
9,Sanford Stadium,92746,Athens,Georgia,1929,Football,"Georgia Bulldogs (NCAA)
",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/UGA_vs._Notre_Dame_2019.jpg/150px-UGA_vs._Notre_Dame_2019.jpg,"[33.94977095, 33.94977095]"
10,Rose Bowl,92542,Pasadena,California,1922,Football,"UCLA Bruins (NCAA) Rose Bowl Game (NCAA)
",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Rose_Bowl%2C_panorama.jpg/150px-Rose_Bowl%2C_panorama.jpg,"[34.16134915, 34.16134915]"
11,Cotton Bowl,92100,Dallas,Texas,1930,Football,"Red River Rivalry (NCAA) State Fair Classic (NCAA)
",https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/2019_State_Fair_Classic_01_%28Cotton_Bowl%29.jpg/150px-2019_State_Fair_Classic_01_%28Cotton_Bowl%29.jpg,"[32.77961185, 32.77961185]"
12,Ben Hill Griffin Stadium,88548,Gainesville,Florida,1930,Football,"Florida Gators (NCAA)
",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Ben_Hill_Griffin_Stadium_during_Florida%27s_win_vs._Utah_in_September_2022.jpg/150px-Ben_Hill_Griffin_Stadium_during_Florida%27s_win_vs._Utah_in_September_2022.jpg,"[29.65003685, 29.65003685]"
13,Jordan-Hare Stadium,88043,Auburn,Alabama,1939,Football,"Auburn Tigers (NCAA)
",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Auburn%2C_AL%2C_USA_-_panoramio_-_Tom_Key_%286%29.jpg/150px-Auburn%2C_AL%2C_USA_-_panoramio_-_Tom_Key_%286%29.jpg,"[32.60216155, 32.60216155]"
14,Memorial Stadium,85458,Lincoln,Nebraska,1923,Football,"Nebraska Cornhuskers (NCAA)
",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/091507-USCNeb-MemorialStadium.jpg/150px-091507-USCNeb-MemorialStadium.jpg,"[40.8207179, 40.8207179]"
15,MetLife Stadium,82500,East Rutherford,New Jersey,2010,Football,"New York Giants (NFL) New York Jets (NFL)
",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/XFL_New_York_Guardians_-_Metlife_Stadium_2_%2849513853381%29.jpg/150px-XFL_New_York_Guardians_-_Metlife_Stadium_2_%2849513853381%29.jpg,"[40.81352375, 40.81352375]"
16,Memorial Stadium,81500,Clemson,South Carolina,1942,Football,"Clemson Tigers (NCAA)
",https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Clemson_Memorial_Stadium%2C_football_game_vs._U_of_Louisville.jpg/150px-Clemson_Memorial_Stadium%2C_football_game_vs._U_of_Louisville.jpg,
17,Lambeau Field,81441,Green Bay,Wisconsin,1957,Football,Green Bay Packers (NFL),https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Packers_vs_Patriots.jpg/150px-Packers_vs_Patriots.jpg,"[44.50095825, 44.50095825]"
18,Gaylord Family Oklahoma Memorial Stadium,80126,Norman,Oklahoma,1925,Football,Oklahoma Sooners (NCAA),https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/OMS_Inside.jpg/150px-OMS_Inside.jpg,"[35.2056786, 35.2056786]"
19,AT&T Stadium,80000,Arlington,Texas,2009,Football,"Dallas Cowboys (NFL) Cotton Bowl Classic (NCAA) Big 12 Championship Game (NCAA)
",https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Cowboys_Stadium_full_view.jpg/150px-Cowboys_Stadium_full_view.jpg,"[32.74785025, 32.74785025]"
20,Doak Campbell Stadium,79560,Tallahassee,Florida,1950,Football,"Florida State Seminoles (NCAA)
",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Doak_Campbell_Stadium.jpg/150px-Doak_Campbell_Stadium.jpg,"[30.438151, 30.438151]"
21,Notre Dame Stadium,77662,Notre Dame,Indiana,1930,Football,"Notre Dame Fighting Irish (NCAA)
",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/NotreDameStadiumNight.jpg/150px-NotreDameStadiumNight.jpg,"[41.69842305, 41.69842305]"
22,Williams–Brice Stadium,77559,Columbia,South Carolina,1934,Football,South Carolina Gamecocks (NCAA),https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Williams-Brice_Stadium_at_University_of_South_Carolina_-_Columbia%2C_SC_%2816710203776%29.jpg/150px-Williams-Brice_Stadium_at_University_of_South_Carolina_-_Columbia%2C_SC_%2816710203776%29.jpg,"[33.9730451, 33.9730451]"
23,Los Angeles Memorial Coliseum,77500,Los Angeles,California,1923,"Football, Motorsports","USC Trojans (NCAA)
",https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/USC_vs_University_of_Oregon_November_2019.png/150px-USC_vs_University_of_Oregon_November_2019.png,"[34.0139923, 34.0139923]"
24,GEHA Field at Arrowhead Stadium,76416,Kansas City,Missouri,1972,Football,"Kansas City Chiefs (NFL)
",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Arrowhead_Stadium_%28October_27%2C_2019_-_7%29.jpg/150px-Arrowhead_Stadium_%28October_27%2C_2019_-_7%29.jpg,
25,Donald W. Reynolds Razorback Stadium,76212,Fayetteville,Arkansas,1938,Football,"Arkansas Razorbacks  (NCAA) (primary)
",https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Hog_call.jpg/150px-Hog_call.jpg,"[36.0680732, 36.0680732]"
26,Empower Field,76125,Denver,Colorado,2001,Football,"Denver Broncos (NFL)
",https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/SAF_at_Mile_High_AFC_Championship_game_pom-poms.jpg/150px-SAF_at_Mile_High_AFC_Championship_game_pom-poms.jpg,"[39.743952, 39.743952]"
